aisle_id,label,width_m,length_m,tested_offset_count,feasible_offset_count,centerline_passed,passed,route_recovered,best_offset_m,best_min_blocked_clearance_m,best_clearance_p10_m,best_candidate_overlap_pose_count,best_attempt_offset_m,best_attempt_blocking_pose_count,best_attempt_collision_pose_count,best_attempt_unknown_pose_count
1,A01,0.9,30.1,7,0,False,False,False,,,,,-0.05,14,13,2
2,A02,1.35,30.3,15,0,False,False,False,,,,,0.0,8,8,0
3,A03,0.7000000000000001,30.25,3,0,False,False,False,,,,,0.0,9,0,9
4,A04,1.2000000000000002,30.3,13,4,False,True,True,0.05,0.05,0.223606797749979,15,0.05,0,0,0
5,A05,1.35,30.200000000000003,15,1,False,True,True,-0.30000000000000004,0.05,0.05,0,-0.30000000000000004,0,0,0
6,A06,1.6,30.200000000000003,21,0,False,False,False,,,,,0.45,25,24,1
7,A07,1.4000000000000001,30.450000000000003,17,0,False,False,False,,,,,-0.05,1,1,0
8,A08,1.4500000000000002,30.3,17,3,False,True,True,-0.05,0.05,0.3354101966249685,0,-0.05,0,0,0
9,A09,1.35,30.450000000000003,15,0,False,False,False,,,,,-0.15000000000000002,13,13,0
10,A10,1.4500000000000002,30.700000000000003,17,0,False,False,False,,,,,0.0,3,3,0
11,A11,1.6500000000000001,30.150000000000002,21,1,False,True,True,0.30000000000000004,0.05,0.2,32,0.30000000000000004,0,0,0
12,A12,1.35,30.25,15,4,False,True,True,0.05,0.05,0.30000000000000004,0,0.05,0,0,0
13,A13,1.5,30.5,19,0,False,False,False,,,,,0.4,28,27,1
14,A14,1.5,30.25,19,3,True,True,False,0.0,0.05,0.25495097567963926,0,0.0,0,0,0
15,A15,1.4500000000000002,30.5,17,0,False,False,False,,,,,0.2,12,12,0
16,A16,2.5,30.35,39,1,False,True,True,0.2,0.05,0.25,115,0.2,0,0,0
17,A17,1.55,30.35,19,0,False,False,False,,,,,-0.30000000000000004,11,11,0
18,A18,1.5,30.400000000000002,19,0,False,False,False,,,,,0.05,28,28,0
19,A19,1.55,30.35,19,1,False,True,True,-0.1,0.05,0.30206906325745553,78,-0.1,0,0,0
20,A20,1.85,30.450000000000003,25,0,False,False,False,,,,,-0.2,1,1,0
