aisle_id,label,width_m,length_m,baseline_b1_available,b1_passed,passed,route_recovered_from_b1,control_point_count,tested_offset_count,blocking_pose_count,collision_pose_count,unknown_overlap_pose_count,candidate_overlap_pose_count,out_of_bounds_pose_count,min_blocked_clearance_m,clearance_p10_m,max_offset_step_m,max_heading_deviation_rad,failure_reason,failure_region
1,A01,0.9,29.899667221297832,False,,False,False,60,7,0,0,0,0,0,,,,,manual_review_blocked,manual_review
2,A02,1.35,30.149752066115706,False,,True,False,60,15,0,0,0,0,0,0.05,0.35000000000000003,0.0,0.0,,
3,A03,0.7000000000000001,30.25,False,,False,False,60,3,0,0,0,0,0,,,,,no_feasible_transition_at_station_7,interior
4,A04,1.2000000000000002,30.3,False,,True,False,60,13,0,0,0,0,0,0.05,0.2692582403567252,0.05,0.0999716317783062,,
5,A05,1.35,30.200000000000003,False,,True,False,60,15,0,0,0,0,0,0.05,0.1118033988749895,0.10000000000000003,0.19864186947024892,,
6,A06,1.6,30.200000000000003,False,,False,False,60,21,1,1,0,20,0,0.0,0.060355339059327384,0.10000000000000003,0.19864186947024925,manual_review_blocked,manual_review
7,A07,1.4000000000000001,30.34983552631579,False,,True,False,60,17,0,0,0,0,0,0.05,0.30000000000000004,0.05000000000000002,0.09980308367838843,,
8,A08,1.4500000000000002,30.3,False,,True,False,60,17,0,0,0,0,0,0.05,0.3640054944640259,0.05,0.09997163177830602,,
9,A09,1.35,30.400000000000002,False,,True,False,61,15,0,0,0,0,0,0.05,0.15000000000000002,0.05000000000000002,0.1013121147783054,,
10,A10,1.4500000000000002,30.5,False,,True,False,61,17,0,0,0,0,0,0.05,0.38078865529319544,0.05000000000000002,0.10097146025766708,,
11,A11,1.6500000000000001,30.150000000000002,False,,True,False,60,21,0,0,0,0,0,0.05,0.158113883008419,0.05,0.10048069765186794,,
12,A12,1.35,30.25,False,,True,False,60,15,0,0,0,0,0,0.05,0.35000000000000003,0.05,0.10014074822408801,,
13,A13,1.5,30.449917898193753,False,,True,False,61,19,0,0,0,0,0,0.05,0.41231056256176607,0.05000000000000002,0.10114219462625536,,
14,A14,1.5,30.25,False,,True,False,60,19,0,0,0,0,0,0.05,0.25495097567963926,0.05,0.10014074822408787,,
15,A15,1.4500000000000002,30.399835796387514,False,,True,False,61,17,0,0,0,0,0,0.05,0.38078865529319544,0.0,0.0,,
16,A16,2.5,30.35,False,,True,False,60,39,0,0,0,0,0,0.05,0.304138126514911,0.05000000000000002,0.0998030836783881,,
17,A17,1.55,30.249834983498353,False,,True,False,60,19,0,0,0,0,0,0.05,0.3101829462658745,0.05000000000000002,0.10014074822408826,,
18,A18,1.5,30.349917627677105,False,,True,False,60,19,0,0,0,0,0,0.05,0.14142135623730953,0.10000000000000003,0.19765665644969294,,
19,A19,1.55,30.35,False,,True,False,60,19,0,0,0,95,0,0.05,0.25,0.05,0.0998030836783879,,
20,A20,1.85,30.19958881578948,False,,True,False,60,25,0,0,0,0,0,0.05,0.49244289008980524,0.05000000000000002,0.10031043588556829,,
